,NetDemand,wM,Posan,Dow,Trend,NetDemand.48,Holy,Year
0,0.34066290158318674,0.2363637051921581,3.753263579964944e-06,0.8333333333333334,0.0,38353,1.0,0.0
1,0.47208591797055827,0.13382731563864203,0.00275098581813721,1.0,0.000498266447983059,38353,0.0,0.0
2,0.5762429404684751,0.11147854453761795,0.005498218372694455,0.0,0.000996532895966118,41192,0.0,0.0
3,0.9138968614017221,0.15407334276851636,0.0082454509272516,0.16666666666666666,0.0014947993439491769,43442,0.0,0.0
4,0.900101842421998,0.23359062644836473,0.010992683481808844,0.3333333333333333,0.001993065791932236,50736,0.0,0.0
5,0.8827886306823443,0.17557936160353313,0.01373991603636609,0.5,0.002491332239915295,50438,0.0,0.0
6,0.9584297750208314,0.14266466737484537,0.016487148590923234,0.6666666666666666,0.0029895986878983537,50064,0.0,0.0
7,0.6015183779279696,0.26901361249037153,0.01923438114548048,0.8333333333333334,0.0034878651358814126,51698,0.0,0.0
8,0.5715211554485696,0.19983064211546975,0.021981613700037723,1.0,0.003986131583864472,43988,0.0,0.0
9,0.9096842884918063,0.24520825765106674,0.024728846254594868,0.0,0.00448439803184753,43340,0.0,0.0
10,0.8545967965929081,0.2682057214441001,0.027476078809152118,0.16666666666666666,0.00498266447983059,50645,0.0,0.0
11,0.8941764651421165,0.35861012634573725,0.03022331136370926,0.3333333333333333,0.005480930927813648,49455,0.0,0.0
12,0.7589575039348209,0.44114451743564337,0.0329705439182665,0.5,0.0059791973757967075,50310,0.0,0.0
13,0.7400240718451995,0.39883915447728624,0.03571777647282365,0.6666666666666666,0.006477463823779766,47389,0.0,0.0
14,0.5473567262290528,0.4003399601426987,0.03846500902738089,0.8333333333333334,0.006975730271762825,46980,0.0,0.0
15,0.5032867327099343,0.431170716239254,0.04121224158193814,1.0,0.0074739967197458845,42818,0.0,0.0
16,0.7921025830941579,0.2799384996405859,0.04395947413649528,0.0,0.007972263167728944,41866,0.0,0.0
17,0.77400240718452,0.23351776331009197,0.04670670669105253,0.16666666666666666,0.008470529615712001,48105,0.0,0.0
18,0.8220535135635589,0.20037072379757412,0.04945393924560967,0.3333333333333333,0.00896879606369506,47714,0.0,0.0
19,0.8849180631423016,0.13885617223765048,0.052201171800166916,0.5,0.00946706251167812,48752,0.0,0.0
